comentario,nota
"Le da mucho énfasis a la parte cualitativa. Los ejercicios con él son más de procedimiento que de razonamiento. Es un profesor muy amable y buena gente, pero no tiene el nivel de rigurosidad que se espera de un profesor del FEMPros: Es muy chistoso
Cons: Los parciales son muy procedimentales",3.7
"Las clases con este profesor son muy aburridas y se tornan molestas cuándo se confunde con cuentas sencillas (cosa que ocurre casi todo el tiempo), con lo cuál pierde tiempo. 
El único aspecto rescatable es que los parciales son sencillos (van de lo explicado en clase) y en general es amable con la nota.
Como sugerencia, realizar mucho trabajo autónomo basando en el texto utilizado por el profesor.Pros: Parciales sencillos.
Calificaciones generosas.Cons: Clases muy aburridas.
Se confunde con cuentas.",2.5
"Es buena explicando y siempre está dispuesta a resolver las dudas de los estudiantes, se aprende bien y lo necesario con ella; aunque depende mucho, demasiado, de las diapositivas. Cuando copia en el tablero es extremadamente desorganizada. Sus comentarios a la hora de calificar tienden a ser un poco agresivos, y hay ocasiones en que no es 100 % objetiva con la calificación.Pros: Deja ejercicios para subir la nota de quices, se puede dejar alta esta nota.
Explica bien.
Tiempo para asesorías.Cons: Suele llegar tarde.
Depende de las diapositivas.
Desorganizada.
Sus clases tienden a ser aburridas.
Se enreda cuando algún estudiante le pregunta algo en clase.",3.0
"Es buen profesor, tiene bastante dominio del tema pero no alcanzó a abarcar todos los temas, específicamente aplicaciones físicas o estadísticas, y series de taylor (con profundidad).
Propone ejercicios interesantes, se puede dejar alta pero tambien hay que estudiar de forma autodidacta.",3.8
"Es pésimo profesor, no abarca todos los temas del curso y no explica nada bien Pros: Califica suave Cons: No enseña nada",2.0
"El profesor explica correctamente los temas y resuelve las dudas que se planteen; aunque en ocasiones al querer solucionarlas se confunde, por lo cual, se pierde tiempo en clase.
En general la clase es amena, sin embargo al momento de escribir es algo desordenado lo cual puede llegar a confundir un poco. 
Los parciales se realizaron de manera conju...
Leer más...Pros: Buenas explicaciones.
Clases no aburridas.
Califica de manera amable.Cons: Algo desordenado al escribir.
A veces se confunde al querer resolver dudas.",4.0
"Algo mediocre en las explicaciones y en el temario en general, dedica la clase a pasar por todos los temas con al menos algún ejemplo, que se le agradece, pero al ser tan breve, su carácter y forma de enseñar es reducida para lo esperable en un curso introductorio. Las recomendaciones serían: seguir el libro guía, hacer todo taller que deje y estar...
Leer más...Pros: Posiblemente claro para muchos, además que los parciales y quizes son muy pasables. Los ejemplos son ilustrativos y está abierto a preguntas tanto en clase como fuera de ellas, especialmente esto ultimo aprovecharlo al máximo por si cualquier duda, pues explica muy bien individualmente.Cons: Cumple solo lo necesario, es insatisfactorio eso en este curso. Habla bajo y se enreda en ocasiones, no recomendado del todo si lo que se quiere es aprender bien bien.",3.0
"Aunque Sarria no tenga por costumbre dar materias para el departamento de Estadística, es un referente en análisis matricial, motivo por el cual es ideal para desarrollar un buen curso teórico de álgebra matricial, esto ultimo sumado a sus excelentes notas de clase (actuales) que contienen ejercicios muy completos y ayudan a orientar mejor un curso para pregrado que el libro de Harville.Pros: - Explica muy bien y difícilmente se perderá uno.
- Las notas de clases son claras y le servirán para mucho después de terminada la materia Cons: - El proyecto que el va a pedir no es de aplicación real como tal
- La parte de programación en R, es difícil que el la maneje bien, pero trata de colaborar
- Es de tiempo",4.7
"Muy buena profesoraPros: Explica bien, Aclara dudas, es condescendiente",5.0
"Es un profesor que utiliza muchísimo el tablero, organizando todas las explicaciones allí, junto con dibujos que permiten visualizar de una manera amena los temas que se explican. Evalúa lo que enseña, y tiene en cuenta el orden con el que se ejecuten los ejercicios.Pros: Muy ordenado, letra bonita y dibujos acertados. Evalúa lo que enseña. Usa varios ejemplos.Cons: Habría sido bueno poder acabar los temas pero hubo problemas de contratación.",4.5
"este man es el diablo en persona ,no enseña nada y esta re loco Pros: nada Cons: el man tiene todo lo malo q pude tener un profesor",1.5
"Es el profesor ideal si se quiere pasar relativamente facil pero no se aprende mucho en realidad, enfoca su clase hacia la parte computacional, es importante tener un PC portatil para desarrollar sus parciales, sumamente estricto con la nota, no da segundas oportunidadesPros: -Los parciales son relativamente sencillos y es facil dejarla alta.
-Los parciales son muy parecidos a los de semestres pasados.
-Da puntos por todo lo que ayuda  a subir la nota mas facilmenteCons: -Siempre llega tarde
-No se aprende mucho en realidad
-Se necesita PC para los parciales
-Dice la nota de los parciales frente a todos",2.5
"Excelente profesora. Se le nota que le gusta enseñar. Es bastante exigente, pero uno le agarra el gusto a la materia desde el primer momento. Deja bastante trabajo, pero siempre califica basándose en eso. Sus parciales y quices son súper trabajables, siempre y cuando usted haga todos los talleres. Pros: Puntual
Siempre está dispuesta a resolver dudas
Explica muy bien
Uno aprende porque aprendeCons: Exigente al calificar
Deja bastante trabajo",5.0
"Héctor es un Crack, hay que estudiar bastante pero vas a entender todo, si te gusta el rigor de la matemática no metas con él, ya que le la da más importancia a que aprendas(explica con muñecos) y pasa errores lógicos por alto, enseña todos los temas a velocidad de la luz pero eso no implica que no aprendas , deja talleres  súper completos de 200 p...
Leer más...Pros: Aprendes todo el temario, te ríes en la claseCons: Talleres largos y parciales largo y pesaditos",4.0
El mejor profesor que he tenido,5.0
El peor profesor de la vida. Puede saber mucho de matematicas pero simplemente tira a matar estudiantes. No tiene ningún interés por su aprendizaje. Solo nos hizo perder el tiempoCons: Todo,1.5
"Deficiente. Se enreda demasiado demostrando cosas que no van al caso, lo complica todo. No hace talleres ni quices para ayudar a retener lo que trata de explicar",1.5
"Excelente profesor, hace la clase interesante y explica muy claro. Se esfuerza para que todos entiendan. Deja un taller antes de cada parcial y de ahí salen algunos de los puntos. Los parciales son trabajables y califica muy suave. Es una excelente profesor y persona.",5.0
"Uno de los mejores docentes del departamento de Matemáticas, Pros: Califica justo. 
Muy amable, resuelve cualquier dudaCons: Nada",5.0
"El profesor sufrió de depresión y a causa de esto su tono de voz es muy bajo, hay que prestarle mucha atencion, exime para el ultimo parcial si tiene buenas notas hace tres parciales y un trabajo escrito de las aplicaciones de la materia en su carrera Pros: Se deja altaCons: No se aprende lo suficiente",4.0
"Se aprende muy poco de matemáticas con él. 
Mete muchas ideas ""filosóficas"" en sus cursos y con eso logra cautivar a mas de uno pero en realidad del tema del curso poco enseña y a veces para algunos temas asume que es muy fácil o es algo que ya se debe saber.Pros: Cumplido
Cons: Suele ser preferencista.
A veces ofensivo.",2.0
"El man es todo raro, pésimo para enseñar y sus parciales son muy difíciles. Pros: Si hace los talleres al derecho y al revés puede pasar y 25% era solo de proyectosCons: es muy malo en los parciales",3.0
"Es una persona con una templanza y paciencia increibles. Explica de manera muy detallada los temas. Pros: Muy paciente.

Parciales pasables.

Aprendizaje garantizadoCons: Ninguno",5.0
"Gran recorrido, buena experiencia. No profundiza demasiado como si lo hace la bibliografía recomendada. Los parciales son fundamentales, no hay más nota que esa (también unos quizes parecidos a los parciales), no confiarse de los parciales, por suerte para eso deja buenos talleres, recomiendo trabajarlos a la totalidad corroborando las demostracion...
Leer más...Pros: Amable, dedica tiempo extra clase, recursos muy buenos.Cons: Las correcciones hacerlas lo más pronto posible, si se le da tiempo es capaz de durar todo el semestre sin ayudarlo. También cometió errores al calificar que casi me valen la materia.",4.0
"Es un matemático excelente, pero como docente deja mucho que desear, muchas veces no respeta las notas, sin embargo busca el beneficio al estudiante. No aprendí mucho.",2.7
"Juan Gabriel es un profesor pragmático y directo , le gusta explicar las cosas de la manera más sencilla posible y eso en Integral se le agradece bastante. Tiene muletillas muy chistosas y en general es muy buena gente y buen profesor. Sus talleres están muy bien realizados.",4.2
"Si ven este profesor cancelen, el profesor es bastante raro y además casi nadie le entendía lo que explicaba, los talleres tenían dificultad moderada y los parciales eran de cuatro punto de los cuales tres salían de los talleres",2.1
"Excelente profesora,explica muy bien y solo lo necesario,nada de ejercicios imposibles de resolver y parciales justos.",4.5
Excelente profesorPros: Atento y amable,4.5
"Es la peor profesora de cálculo diferencial que tiene la universidad nacional. Si mete con ella cancele o cambie de grupo inmediatamente.Pros: NADA!Cons: Extremadamente grosera y arrogante, insulta a los estudiantes y los menosprecia, no se deja hablar, explica muy muy mal, genera un ambiente horrible en clase",1.5
exelente metodo de enseñanzaPros: todoCons: llega tarde,5.0
"El profesor es muy loco y perdido. Llegó tarde todas las clases y no asistió ni las primeras semanas ni la última. Es alguien irresponsable pero amable y buena persona, al final cancela las peores notas y hace que la mayoría pasen. Llega tarde todas las clases a no ser que haya parcial. No se preocupe mucho si piensa que va perdiendo con el. Mejor estudie.",2.1
"Es el peor profesor para meter calculo diferencial, sus notas no tienen sentido, así como se debería calificar sobre 5, al man no le importa y califica una nota del 33% de la materia sobre 3 ni siquiera siendo supletoria sólo por que quiere. Pros: NingunoCons: Todos",1.5
Hace Quizzes y explica bien. Quita las dos peores notas de los Quizzes.,5.0
"Excelente maestro
A veces pareciera estar regañando, cuando uno le pide una explicación, pero si lo hace, no le veo problema a eso, todo es con la intención de que uno aprenda.",4.5
"Carolina es la persona ideal cuando a cursos introductorios uno se refiere. Da de forma amena, pero sin perder la suficiente profundidad para cursos de pregrado, con tal que uno pueda entender pero al tiempo inculcar en uno los conceptos suficientes para afrontar cursos superiores. Una de las docentes que me inculco el amor por la docenciaPros: - Sabe muy bien como dar una clase
- Difícilmente se queda corta en bibliográfica referente
- Adapta bien sus métodos a personas que apenas llegan al ambiente universitario, sin perder rigor.Cons:",5.0
"El profesor explica bien, pero tiene una manera de enseñar que por lo menos a mi no me cautiva, no se enfoca mucho en darle a uno una motivación para saber para que le sirve a uno la materia que esta viendo, los parciales son difíciles,nada comparados con los quices, por lo menos en este periodo los únicos talleres que envió para reforzar el aprendizaje fueron de martha moreno, pero muchas cosas de las que están en esos talleres no saldrán en el parcial. Le tiene que dedicar bastante tiempo a la materia si la quiere pasar con buena nota. Pros: Explica relativamente bienCons: En el horario de 7-9 siempre llega 20 min tarde

Parciales Difíciles",2.3
"No te puedes concentrar en clase con él , ya que se vuelven aburridas , sin embargo para pasar algebral lineal o cualquier otra materia basta con leerse el libro guía , asi que pues pasar con él no es un problema ya que sus parciales no son díficiles , pero pues si no lees bien el texto guia pues complicado pasarlos , ya que las clases no son las mejores que digamos.Pros: Parciales fáciles (lee el texto guía, no seas vago)Cons: clases dificiles de concetrarse, si te fue mal en un parcial revisalo muy bien ya que califica muy a la carrera y se equivoca mucho en las notas , pero sí acepta reclamos.",3.0
El man es buena gente y explica bien. Hay que trabajar mucho para no perder con él. Y es mejor sentarse adelante en el salón pues habla en un tono de voz muy bajo.Pros: Enseña muy bien.Cons: Es fácil perder con él.,4.0
"Me gustó mucho ver con Martha mate básicas, pudo llenar huecos que me habían quedado del colegio y me gusta mucho su forma de explicar. A muchos les parece muy lento el ritmo pero personalmente a mi, una persona con una relación amor-odio con las matemáticas, me sirvió bastante. 

Los parciales son fáciles si se hacen los talleres con juicio. Hace quiz todas las semanas y nunca pregunta algo que no haya dictado. Pros: Organizada a la hora de entregar notas
Buena explicando 
ImparcialCons: Puede tener un ritmo monótono en clase
Se enfoca mucho en los detalles a la hora de calificar (procedimientos)",4.5
"Se pierde mucho dando clases y pareciera que en la mayoría de oportunidades el no preparara clases. El tiene un carácter volátil y puede afectar el desarrollo del curso, debe llevarle uno con calma. El hace quices con regularidad y los parciales suelen ser fáciles, lo cual permite dejar la materia alta si uno estudia por su cuenta.     Pros: - Es fácil pasar con él
- Cuando se propone, sabe explicar las cosas.Cons: - La mayor parte del curso es mejor aprender por cuenta propia",2.7
"De los mejores, demasiado claro al explicar los temas, así que me pesa no haber aprovechado sus clases. Es un paisa muy simpático, sus clases siempre están llenas de chistes y muy pedagógico en su metodología. Hace quices cada viernes, y son una nota que ayuda mucho al final. Cualquier materia con él la matricularía sin dudarlo.",5.0
"Muy buen manejo del tema, siempre está dispuesta a responder dudas y su metodología es muy efectiva para abarcar todos los temas y explicarlos de la mejor manera.Pros: Muy puntual.",4.5
"Pros: Excelente docente, está dispuesto a solucionar dudas en horarios de atención y quices de a gruposCons: En salones grandes la clase sería mejor si usara micrófono, pues en ocasiones no se escucha.",4.5
"La verdad es un error meter con el. Como profesor pues no es ni tan bueno ni tan malo, en las explicaciones va muy desordenado, no sigue el programa, sagrádamente llega media hora tarde (para parciales solo 15 minutos), es muy MUY grosero con los que preguntan y no cumple lo que promete (nos dijo que eliminaría el quiz mas malo y nunca lo hizo, dic...
Leer más...Pros: No explica malCons: La forma de calificar
Lo grosero",1.5
Excelente docente,5.0
"Es un profe que sabe, pero no es bueno enseñando. Se confunde a él mismo mientras explica, por lo que uno se confunde peor. Siempre comete errores y al final los ejercicios estaban mal. Uno tiene practicamente que estudiar por sì mismo.Pros: Su actitus es buena y siempre está dispuesto a corregir sus errores",2.0
"Considero que va muy rápido y no explica en profundidad los temas. Se guía mucho de un texto por lo tanto si uno estudia por su cuenta puede obtener buenos resultados.Pros: Es una persona respuetuosa con los estudiantes.Cons: Llega tarde.
A veces es algo conchuda pues contesta el celular en clase.",3.0
"Es uno de los mejores profesores que he tenido en mi vida, y creo que así va a ser siempre. Es excelente explicando, sorprendente... es muy ameno y divertido, las clases son súper entretenidas y siempre se preocupa porque los estudiantes aprendan; si es necesario, empieza a explicar de nuevo todo lo visto en clase, si le dices que no entiendes. Atiende todas tus preguntas y siempre está en su oficina en el horario de atención para explicarte lo que necesites. Deja ejercicios que no califica para que estudies por tu cuenta, y hay quices cada semana; hay que estudiar para los quices porque no basta con haber ido a clase, pero si estudiaste, al menos un poco, lo haces. Los parciales son difíciles, pero de nuevo, si estudiaste, lo pasas bien! No pone nada que no haya explicado y al final hace un supletorio.Si pudiera ver más materias con él, las vería! Todas!!Pros: Excelente profesor
Ameno y divertido
Siempre contesta las dudas
Parciales justos
Quices cada semana",5.0
"Es el peor profesor que he tenido en lo que llevo de la carrera, porque no explica bien, le habla al tablero, realiza ejemplos sencillos y evalúa con ejercicios realmente complicado, igualmente los talleres, el profesor es buena gente pero como pedagogo no resulta nada bueno",1.5
"Es una buena profesora, da un 25% en solo quices y tareas no muy complicadas, es cortés con el trato del estudiantes.Pros: Deja un 25% de solo quices y tareas
Trata de recordarles a los estudiantes los errores usuales en los parciales
Da bastante material de ayudaCons: Se limita a solo diapositivas",4.0
"Es un excelente profesor ya que en verdad le gusta lo que hace, y es muy práctico en las clasesPros: Es fácil dejarla la alta
En verdad motivaCons: Puntualidad
No revisa bien los talleres",4.5
"Mal profesor, no explica, habla hacia el tablero , su letra pequeña y su voz baja conlleva un problema en salones grandes, se enreda con facilidad, para resolver sus parciales mucho estudio autonomo",2.5
"En este curso (grupos y anillos) me pareció excelente, teniendo en cuenta la relevancia de este para la carrera de matemáticas al ser la primera materia de álgebra abstracta. Se inicia a paso lento, así formando bases sólidas; sin embargo al final corrió demasiado para abarcar todo el temario, lo cual resulta perjudicial.",4.5
"Es un profesor con el que se puede hablar y enseña todos los temas, sin embargo casi no responde a las dudas de sus estudiantes, considero que su metodología es dejar ejercicios del tema visto para que se resuelvan en unos 10 minutos (cada uno) y luego resolverlos, los parciales son relativamente fáciles.Pros: Enseña todos los temas, lo prepara bien para integralCons: Son pocas las dudas que atiende",4.0
"Es temperamental, pero tiene una metodología similar a Margarita. El es perfecto para dar un curso introductorio: es claro en la exposición de temas, exigente, pero coherente en las evaluaciones de acuerdo a los contenidos tratados en las diapositivas y talleres propuestosPros: - Sabe dar una clase
- Comparte metodología con MargaritaCons: - Es temperamental y puede parecer escuelero",4.3
"Como dijeron por ahí, Padilla se encuentra en el limbo. 
Para empezar el man sabe impactar en la vida del estudiante (para bien, claro), no solo enseña su materia, sino para la vida y como profesional, a nosotros nos enseñó lenguaje de señas y hace una sesión de estiramiento antes de empezar la clase. Explica muy distinto a como lo hacen la mayoría de profesores, tiene una metodología interesante y en muchas personas funciona bien, pero requiere mucho mucho trabajo autonomo. 
La mayoría de estudiantes lo califican como mal profesor porque es duro, pero solo esperan que los pase o les enseñe por ósmosis, además el profe da consultas externas casi todos los días (en las que explica mil veces mejor), y tiene un canal de youtube tambien muy bueno. 
Es recomendable si quieres pasar clases muy divertidas y agradables pero estudiar en tu casa minimo una hora o dos al día.
Lo califico con 5 para subirle el promedio un poco, la mayoría de estudiantes son muy malagradecidos. Realmente merece un 39 diría yoPros: Da 2 bonificaciones que valen una unidad cada una en un parcial.
Es muy buena gente
Es divertido
Tiene una metodologia muy distintaCons: Se enoja si le preguntan varias veces lo mismo (bastante)
Tiene una metodologia muy distinta
Requiere trabajo autonomo",5.0
"De nuevo, uno de los mejores profesores de la U. Vi ecuaciones diferenciales con él, después de haber visto integral también con él; y fue la mejor decisión. Es excepcional; tiene los temas super claros y también super claro el orden en el que los dicta. Todo lo relaciona con cosas de la vida laboral y cotidiana, y lo que siempre me ha parecido su mejor cualidad, es que explica y explica las cosas las veces que sea necesario, así tenga que explicar cosas de hacía 4 clases. Quices cada semana y si que era necesario estudiar; y parciales también difíciles, pero si estudiabas, lo lograbas, aunque había que estudiar bastante. Finalmente tiene muy buena memoria, y si viste algo con él antes, te va a preguntar siempre en sus clases. Pilas porque la monta un poquito, pero todo se le perdona a semejante personaje... el mejor!Pros: Explica excelentísimo
Se asegura de que entiendas bien
Ejercicios para que practiques
Parciales justos",5.0
"Muy mal profesor, se enreda con facilidad, se le nota poco interés por enseñar. Uno no aprende nada en clase toca puro aprendizaje autónomo. Es muy incumplido para llegar a clasePros: Es fácil pasarCons: No enseña nada
Es muy incumplido",1.5
"El profe es amable y es pilo, pero cuando veía clase con él llegaba media hora tarde incluidos los parciales. Hace quices opcionales para subir las notas pero dos parciales tienen un nivel  pesadoPros: Tú decides que quices entregar y cuáles noCons: Llega tarde y los parciales son difíciles",4.0
"Pésimo manejo de clase, las hace extremadamente largas y tediosas, los parciales son complejos y requieren mucho conocimiento de los temas, nunca sigue el libro guiá. Su tono de voz se siente como si odiara la materia que dicta. Pros: Puntual
Avisa con tiempo al calificarCons: Pésimo manejo de clase
Difícil de seguirle la corriente
Lenguaje muy matemático",1.5
"Pasar la materia es sencilla, se puede aprender solo el curso con sus notasPros: Es fácil dejar alta la materia",3.4
"Pros: Sabe explicar el tema.
Realiza un Pre-Parcial que es de gran ayuda.

Cons: Entrega tarde los parciales.",4.0
"Es excelente profesora, explica bien y si a veces uno no entiende vuelve y explica con mucha tranquilidad, responde a TODAS las inquietudes que uno tenga y se preocupa porque todos entiendan.Pros: Explica hasta que uno entienda.Cons: Si uno no pregunta, ella toma los temas con rapidez,",4.5
"Explica bastante bien y además complementa los contenidos de la materia con unas notas de clase bastante útiles. Los parciales no son nada complicados y da oportunidades para subir la nota. Por ej., suele eliminar los peores quices para mejorar esa nota.Pros: Es bastante justo, incluso hasta madre.
Se puede aprender y a la vez sacar una buena nota.Cons: A veces habla muy despacio, aunque lo compensa manteniendo entretenida la clase.",5.0
"divaga bastante acerca de temas aleatorios, (aprendí bastante de otras cosas que de calculo).
es un poco arrogante a la hora de dictar clase, y un poco altanero al responder preguntas.
su forma de calificar es de cinco parciales haciendo aproximadamente uno cada dos semanas.
no es un mal profesor, es notable que sabe bastante y si se pone empeño en estudio autónomo (algo que me falto) se puede dejar alta.
suele dejar asignaciones para los fines de semana de los cuales a veces saca puntos parecidos para los parciales Pros: se aprende de varios temas en general y tiene en cuenta la media del curso para así dar ayudas
los parciales pueden ser hasta sobre 65Cons: divaga mucho en clase, responde de forma altanera",3.0
"De los mejores profesores que he tenido. Aunque aveces explica muy rápido siempre recuerda temas anteriores para que uno pueda entender el siguiente. Deja muchas posibilidades para subir nota, hace curvas y los parciales salen de un taller que deja para estudio o puntos que resuelve en clase.Pros: Explica bien. 
Se deja alta.
Es muy amable.
Chistoso.Cons: No es puntual. 
A veces explica muy rápido.",5.0
"Es muy buen docente, diría excelente debido a todas sus explicaciones y metodologías.Pros: Se entiende todo y es muy amable.Cons: Suele ser muy estricto con los quices, bajando bastante por cualquier cosa",4.8
"La profesora no explica bien los temas, falta mucho a clase y no avisa.",1.5
"El profesor se preocupaba por enseñar los temas del curso, es una persona muy amable. Pero en muchas ocasiones era un poco perezoso con las demostraciones y no más daba una idea un tanto vaga de como se realizaban. Además en el curso de análisis no dejaba talleres, y los quices no los realizaba muy seguido a comparación de cursos más básicos como cálculo diferencial. Además ponía a realizar a los estudiantes las clases al final de semestre, lo cuál es bueno porque uno va aprendiendo cómo se enseña, sin embargo el problema era que varios de mis compañeros no enseñaban muy bien y se enredaban, además los temas a final de semestre son algo avanzados y complicados de entender. Por otro lado, el tipo mostraba que tenía preferencias con sus estudiantes de forma un tanto descarada.Pros: Es muy amable.Cons: No profundiza en las demostraciones.",2.9
"no explica nada, exige lo que no es capaz de enseñar, no entiendo como esta señora tiene incluso mejores referencias que docentes como Lorenzo, Ibeth o Zalamea, pide perdón con el 70% de las notas listas para poner un tercer parcial mucho más difícil con temas de integración (para luego decir que debimos deducirlo), realmente me da lastima por quie...
Leer más...Pros: no le pongo menos de 1.5 porque es lo mínimoCons: es desagradable, no escribe en el tablero, no prepara ninguna clase, pone parciales que ni ella podría hacer y mucho menos redactar bien en 2 horas,",1.5
"No recomienda para nada esta profesora, empezando por que es super impuntual, no prepara las clases, explica super enredado, no tiene una metodologìa, la señora se le nota que sabe mucho pero no sabe es enseñar, sus parciales son super jodos asì que tiene que estudiar mucho y hacer ejercicios super enredados por que son de su estilo, no se puede preguntar porque se enoja, habla super suave asì que se tienen que hacer adelanta porque no esuchan o se duermen",1.7
"Pros: 1. Quices trabajablesCons: 1. Durante el curso se dedica a demostrar.
2. clase no muy amena.
3. talleres super largos
4. Parciales difíciles
5. Dicta los temas demasiado rápido",1.5
"El profesor hace sus notas para la clase al estilo nacho escribe, explica muy bien pero avanza muy rápido, no deja sacar celular en clase si lo ve con celular le baja , cuenta chistes e historias para hacer amena la clase , es muy buena persona, tiene horario de atención largo para resolver dudas, deja parciales sobre 6, son 4 parciales y antes de cada parcial deja talleres de 100 puntos con a-b-c hasta j a veces Pros: Se aprende mucho y dus parciales son hasta 6Cons: Talleres muy largos y se puede perder muy bajo",5.0
Es el peor profesor que he tenido en toda mi vidaPros: NadaCons: Es arrogante. No resuelve dudas. En los parciales pregunta temas que aún no ha explicado.,1.5
"Explica los temas con mucha paciencia, dedicación y claridad. Siempre está disponible para una asesoría. Pros: Los quices y tareas son sencillos. Los parciales no son complicados pero uno se los puede echar si no está concentrado.Cons: Las clases son muy temprano :v",5.0
"El profesor  se esfuerza por demostrar aplicaciones prácticas de los temas que incluye el plan de estudio, muchas de estas aplicaciones son interesantes, desafortunadamente muchas veces deja de lado la teoría, y omite la gran mayoría de temas que se deberían ver.
Tiene un tono de voz muy bajo, algunas clases pueden ser muy aburridas o muy confusas,...
Leer más...Pros: Se aprende (superficialmente) aplicaciones útiles de los temas vistos.
Se puede dejar alta fácilmente
Cons: No se aprende lo suficiente de los temas vistos, y otros ni siquiera se tratan.
Algunas clases son muy aburridas.
Su forma de explicar suele ser muy confusa.",3.5
"Es un tipo bastante amable, pero no muy buen profesor. Explica bien, pero a veces de enreda o cambia de tema porque sí. En las clases casi nunca profundiza, solo da algunos ejemplos y ya. En los parciales, quices sale lo visto en clase y en los talleres que envía, por lo que si estudia se sacan altos.Pros: Es amable para resolver dudas.
Los parciales y quices son fáciles.
Las clases son amenas.Cons: Casi siempre llega tarde, incluso falla a a algunas clases.
No profundiza.
Divaga en las explicaciones.",3.2
"Es muy tierna y explica bien y a un buen ritmo, hace muchos quices y quita los peores. Los parciales son lo visto en clase.Pros: Deja talleres semanalesCons: Puede molestarse cuando no se entiende algo obvio (para ella)",4.7
"Mete con él si puedes estudiar autónomamente; él tiene un cronograma con vídeos que hizo, no pierdas ni uno, duran cómo 20 minutos. Si vez los vídeos entenderás todas las clases, si no, prepárate para no entender la teoríaPros: Es amable si ve que uno presta atención o necesita ayuda
Cons: No sabe explicar la parte teórica",4.0
"Es una buena persona pero es algo perezoso, hizo supletorios a la gente que iba mal en  los parciales.Pros: 1. Es buena gente.
2. Se deja corregir cuando sabe que esta equivocado.
3. Trata de ayudar con la nota.Cons: 1.Algunas veces no preparaba las clases.
2. Llegaba media hora tarde a los parciales.",4.0
"Es un profesor con el cual uno debe adaptarse a la dinámica de su clase, si se logra, sus clases se pueden aprovechar mucho, sin embargo es muy fácil perderse. Me pareció algo impersonal con los estudiantes. No obstante, no creo que sea un mal profesor, cómo dije, si se sabe llevar la clase, se le saco provechoPros: Deja un trabajo final que ayuda bastante 
Su forma de calificar es justaCons: Responde con mal tono las preguntas",3.5
"Es uno de los profesores más completos que he conocido en mi carrera pues es buena persona, buen profesor y buen investigador. En su faceta como profesor tiene claro que lo que enseña debe servirle al alumno en la profesión (en mi caso, matemático) y busca que el alumno se involucre y enamore de eso. Comprende al estudiante pero también lo corrige cuando es necesario.Pros: Respetuoso.
Organizado con las temáticas.
Claro y objetivo.
Buenos espacios de consulta.
Didáctico.",4.7
"Pros: Da mucho tiempo de ayuda en las horas de consutaCons: Se va mucho del hilo de la clase por las preguntas que hacen los demás estudiantes, aveces incluso adelantándose temas.

En el parcial aparecen temas que no explico en clase sino que aparece en las fotocopias.",3.5
"La profesora explica muy bien y califica lo justo. Sin embargo a veces llegaba muy tarde a clase, y avanzaba muy despacio en temas, y al final se acumularon muy feo para el parcial final. Por otro lado, si ella se equivocaba calificando los parciales o los talleres ella no corregía la nota.Pros: Explica bienCons: Se acumulan los temas del curso",3.7
